popularize ˈpɒpjələraɪz  ˈpɑːpjələraɪz
providing prəˈvaɪdɪŋ  prəˈvaɪdɪŋ
recipient rɪˈsɪpiənt  rɪˈsɪpiənt
repetitive rɪˈpetətɪv  rɪˈpetətɪv
retention rɪˈtenʃ(ə)n  rɪˈtenʃ(ə)n
revenge rɪˈvendʒ  rɪˈvendʒ
revitalize ˌriːˈvaɪtəlaɪz  ˌriːˈvaɪtəlaɪz
scarcity ˈskeəsəti  ˈskersəti
sexism ˈseksɪzəm  ˈseksɪzəm
skyrocket ˈskaɪrɒkɪt  ˈskaɪrɑːkɪt
staffer ˈstɑːfə(r)  ˈstæfər
stark stɑːk  stɑːrk
stereotype ˈsteriətaɪp  ˈsteriətaɪp
stimulus ˈstɪmjələs  ˈstɪmjələs
subordinate səˈbɔːdɪnət  səˈbɔːrdɪnət
subsidy ˈsʌbsədi  ˈsʌbsədi
tactic ˈtæktɪk  ˈtæktɪk
terminology ˌtɜːmɪˈnɒlədʒi  ˌtɜːrmɪˈnɑːlədʒi
thereafter ˌðeərˈɑːftə(r)  ˌðerˈæftər
threshold ˈθreʃhəʊld  ˈθreʃhoʊld
tile taɪl  taɪl
unearth ʌnˈɜːθ  ʌnˈɜːrθ
warship ˈwɔːʃɪp  ˈwɔːrʃɪp
welder ˈweldə(r)  ˈweldər
envision ɪnˈvɪʒ(ə)n  ɪnˈvɪʒ(ə)n
foster ˈfɒstə(r)  ˈfɑːstər
monopoly məˈnɒpəli  məˈnɑːpəli
premature ˈpremətʃə(r)  ˌpriːməˈtʃʊr
