incentive               名 刺激 激励或鼓励某人做某事的事物 优惠 刺激更多产出或投资的支付或让步 意似stimulate stimulus provoke irritate
leap                    名动 跳跃 跳得很远，跳得很高，或者用很大的力量 迅速移动 迅速而突然地移动
legislation             名 法律 集合名词？ laws, considered collectively 立法 制定或颁布法律的过程:
legislate               动 立法 make or enact laws 预测并应对/阻止…发生 为(事件)提供或准备 用法legislate for/against 注意重音不同
moreover                副 此外 as a further matter; besides 注意单词内连读
mount                   动 登上 爬上(楼梯、小山或其他上升的表面) 发起 组织和发起(一项运动或其他行动) 增加上升加剧 变得更大或更多 用法如mount up 装框安装 把(物体)放在或固定在支架上 引申到计算机挂载 登上如山王位
obese                   形 肥胖的 very fat or overweight
obesity                 名 肥胖 
obstacle                名 障碍 阻碍某人前进或阻止或阻碍前进的东西 意似handicap
opponent                名 对手 在竞赛、游戏或争论中与他人竞争或对立的人 反对者 不同意或反对建议或做法的人 单打独斗单词 意似oppose opposite objection hostile 
pierce                  动 穿孔 (指尖利的物体)进入或穿过(某物) 穿透穿过 强行通过;penetrate 如叫声 不一定是尖利的物体了
principal               形 最重要的 first in order of importance;main 名 一个组织或团体中最重要或最资深的人 如校长主角 同音principle但无关
profound                形 巨大的强烈的 (指状态、性质或情感)非常伟大的或强烈的 深邃的 (指人或陈述)具有或表现出渊博的知识或洞察力 
quote                   动 引用 重复或抄写(别人写的或说的文本或演讲中的单词) 报价 给某人(一项工作或服务的估计价格) 名 引文 a quotation from a text or speech 报价 对某项工作或服务给出估计成本的报价 意似cite quota cue
rural                   形 农村的 在农村而不是城镇的，与农村有关的或具有农村特征的
spill                   动 溢出 使或允许(液体)溢出容器的边缘，尤指无意中 透露泄露 向某人透露(机密信息) 非正式用法 名 溢出的液体 溢出的行为 形似spilt过去式 split spray spit splash
suburb                  名 郊区 城市的边远地区，尤指住宅区 同源词urban
arise                   动 产生 (指问题、机会或情况)出现;变得明显 人起身太阳月亮升起 get or stand up 正式且文学用语 短语arise from/(out of) 源于某事 occur as a result of
arouse                  动 引起 唤起(感觉、情绪或反应)或愤怒等强烈情绪或性欲 唤醒 把(某人)从睡梦中唤醒 形似rise rose risen cause 意似rouse几乎一致 差个性欲
aviation                名 航空 the flying or operating of aircraft
beverage                名 饮料 (主要用于商业用途)水以外的饮料 正式说法
cabin                   名 舱 船上的私人房间或隔间或飞机上的乘客区域 小木屋 荒野或偏远地区的小木屋或房子
pursuit                 名 追逐 pursue某人或某物的行为 爱好 特定种类的活动，尤指娱乐或体育活动 词根pursue 动 追逐 跟随或追赶(某人或某物) 追求 不断地寻求与(某人)建立性关系 致力于 力图在很长一段时间内达到或完成(一个目标)  沿着……前行 沿着(小路或路线)继续或前进 形容物体如路 从事 参与(一项活动或行动过程) 如从事职业 追查 继续调查或探讨(一个观点或论点)
cart                    名 大车 一种有两个或四个轮子的坚固的敞篷车辆，通常用于运载货物并由马拉着 购物车 可以是购物时候的手推车也可以是网站上的一种工具，记录顾客所选择的商品，直到交易完成 动 用大车运送  用手推车或类似的交通工具运送或放置 奋力运走 吃力地把(沉重或笨重的物体)搬运到某个地方 非正式用法
commute                 动 通勤 定期在家和工作地点之间走一段距离 减刑 减轻(司法判决，尤指死刑)为较轻的判决 名  通勤 形似communicate但无关 commune
converse                动 交谈 engage in conversation 名 交谈 conversation 相反之物情况说法 与另一个相反的情况、对象或陈述，或与其相对应，但将某些条件调换 形 相反的 具有与前面提到的事物相反的特征的 同根词conversation
crew                    名 全体船员机务人员 在船、飞机等上工作和操作的一群人 全体工作人员剧组人员 a group of people who work closely together 音似crude 意似staff
dean                    名 主任牧师 主教座堂或学院教堂的主教 院长 大学教职员、系或医学院的院长
decay                   动 腐烂 (指有机物)由于细菌和真菌的作用而腐烂或分解 破损坍塌 年久失修 形容建筑物 衰退 decline in quality, power, or vigour 形容人抽象之物 名 腐烂衰退 the state or process of rotting or decomposition 意似rot rotten corrupt
deteriorate             动 恶化 become progressively worse逐渐变坏
deterioration           名 恶化 the process of becoming progressively worse
distress                名 痛苦疼痛 极度焦虑、悲伤或疼痛 危难 船舶或飞机在遇到危险或困难并需要帮助时的状态 贫困 由于缺钱而造成的困难 动 使痛苦疼痛 cause (someone) anxiety, sorrow, or pain 形似depress
dump                    名 垃圾场 堆放垃圾的地方 动 倾倒 弃置或处置(垃圾、废物或不需要的物质)，尤指粗心或匆忙地
echo                    名 回声 由声波从表面反射回听者所引起的一种或多种声音 共鸣 与一种思想、感觉或事件非常相似 动 使回响 附和类似共鸣？ 重复(某人的话或观点)，通常表示同意
excessive               形 过高过度的 超出必要的、正常的或理想的 就是同excess的形容词意思
excess                  名 过量过度 超出必要的、允许的或可取的某物的数量 过分放纵无节制 缺乏节制，尤指在饮食方面 形 过多的 超过规定的或理想的数量的
expertise               名 专长 在某一特定领域的专业技能或知识 词根expert 形似expense
