incentive               ɪnˈsentɪv  ɪnˈsentɪv
leap liːp  liːp
legislation ˌledʒɪsˈleɪʃn  ˌledʒɪsˈleɪʃ(ə)n
legislate ˈledʒɪsleɪt  ˈledʒɪsleɪt
moreover mɔːrˈəʊvə(r)  mɔːrˈoʊvər
mount maʊnt  maʊnt
obese əʊˈbiːs  oʊˈbiːs
obesity əʊˈbiːsəti  oʊˈbiːsəti
obstacle ˈɒbstək(ə)l  ˈɑːbstək(ə)l
opponent əˈpəʊnənt  əˈpoʊnənt
pierce pɪəs  pɪrs
principal ˈprɪnsəp(ə)l  ˈprɪnsəp(ə)l
profound prəˈfaʊnd  prəˈfaʊnd
quote kwəʊt  kwoʊt
rural ˈrʊərəl  ˈrʊrəl
spill spɪl  spɪl
suburb ˈsʌbɜːb  ˈsʌbɜːrb
arise əˈraɪz  əˈraɪz
arouse əˈraʊz  əˈraʊz
aviation ˌeɪviˈeɪʃ(ə)n  ˌeɪviˈeɪʃn
beverage ˈbevərɪdʒ  ˈbevərɪdʒ
cabin ˈkæbɪn  ˈkæbɪn
pursuit pəˈsjuːt  pərˈsuːt
cart kɑːt  kɑːrt
commute kəˈmjuːt  kəˈmjuːt
converse kənˈvɜːs  kənˈvɜːrs
crew kruː  kruː
dean diːn  diːn
decay dɪˈkeɪ  dɪˈkeɪ
deteriorate dɪˈtɪəriəreɪt  dɪˈtɪriəreɪt
deterioration dɪˌtɪəriəˈreɪʃ(ə)n  dɪˌtɪriəˈreɪʃn
distress dɪˈstres  dɪˈstres
dump dʌmp  dʌmp
echo ˈekəʊ  ˈekoʊ
excessive ɪkˈsesɪv  ɪkˈsesɪv
excess ɪkˈses  ɪkˈses
expertise ˌekspɜːˈtiːz  ˌekspɜːrˈtiːz
fade feɪd  feɪd
fate feɪt  feɪt
fatal ˈfeɪt(ə)l  ˈfeɪt(ə)l
fragment ˈfræɡmənt  ˈfræɡmənt
gasoline ˈɡæsəliːn  ˈɡæsəliːn; ˌɡæsəˈliːn
hazard ˈhæzəd  ˈhæzərd
horror ˈhɒrə(r)  ˈhɔːrər
insult ɪnˈsʌlt; ˈɪnsʌlt  ɪnˈsʌlt; ˈɪnsʌlt
journalism ˈdʒɜːnəlɪz(ə)m  ˈdʒɜːrnəlɪz(ə)m
literate ˈlɪtərət  ˈlɪtərət
lobby ˈlɒbi  ˈlɑːbi
marvelous ˈmɑːvələs  ˈmɑːrvələs
marvel ˈmɑːv(ə)l  ˈmɑːrv(ə)l
miracle ˈmɪrək(ə)l  ˈmɪrək(ə)l
motion ˈməʊʃn  ˈmoʊʃ(ə)n
neutral ˈnjuːtrəl  ˈnuːtrəl
obligation ˌɒblɪˈɡeɪʃ(ə)n  ˌɑːblɪˈɡeɪʃn
oblige əˈblaɪdʒ  əˈblaɪdʒ
palm pɑːm  pɑːm
plague pleɪɡ  pleɪɡ
