refine rɪˈfaɪn  rɪˈfaɪn
refrigerator rɪˈfrɪdʒəreɪtə(r)  rɪˈfrɪdʒəreɪtər
reluctant rɪˈlʌktənt  rɪˈlʌktənt
reproduce ˌriːprəˈdjuːs  ˌriːprəˈduːs
rod rɒd  rɑːd
scandal ˈskænd(ə)l  ˈskænd(ə)l
secondary ˈsekənd(ə)ri  ˈsekənderi
setback ˈsetbæk  ˈsetbæk
slope sləʊp  sloʊp
territory ˈterətri  ˈterətɔːri
undergo ˌʌndəˈɡəʊ  ˌʌndərˈɡoʊ
undermine ˌʌndəˈmaɪn  ˌʌndərˈmaɪn
vanish ˈvænɪʃ  ˈvænɪʃ
vitamin ˈvɪtəmɪn  ˈvaɪtəmɪn
attorney əˈtɜːni  əˈtɜːrni
bake beɪk  beɪk
bankrupt ˈbæŋkrʌpt  ˈbæŋkrʌpt
beloved bɪˈlʌvɪd  bɪˈlʌvɪd
brake breɪk  breɪk
bump bʌmp  bʌmp
cable ˈkeɪb(ə)l  ˈkeɪb(ə)l
champion ˈtʃæmpiən  ˈtʃæmpiən
civilize ˈsɪvəlaɪz  ˈsɪvəlaɪz
conscience ˈkɒnʃəns  ˈkɑːnʃəns
controversy ˈkɒntrəvɜːsi  ˈkɑːntrəvɜːrsi
counsel ˈkaʊnsl  ˈkaʊns(ə)l
curse kɜːs  kɜːrs
dairy ˈdeəri  ˈderi
definite ˈdefɪnət  ˈdefɪnət
density ˈdensəti  ˈdensəti
dense dens  dens
destiny ˈdestəni  ˈdestəni
deprive dɪˈpraɪv  dɪˈpraɪv
deprivation ˌdeprɪˈveɪʃn  ˌdeprəˈveɪʃən; ˌdɪpraɪˈveɪʃən
derive dɪˈraɪv  dɪˈraɪv
deputy ˈdepjuti  ˈdepjuti
elaborate ɪˈlæbərət  ɪˈlæbərət
embrace ɪmˈbreɪs  ɪmˈbreɪs
expire ɪkˈspaɪə(r)  ɪkˈspaɪər
entrepreneur ˌɒntrəprəˈnɜː(r)  ˌɑːntrəprəˈnɜːr
envy ˈenvi  ˈenvi
exclude ɪkˈskluːd  ɪkˈskluːd
exclusive ɪkˈskluːsɪv  ɪkˈskluːsɪv
faulty ˈfɔːlti  ˈfɔːlti
favor ˈfeɪvə(r)  ˈfeɪvər
favorable ˈfeɪvərəb(ə)l  ˈfeɪvərəbl
fierce fɪəs  fɪrs
fleet fliːt  fliːt
gadget ˈɡædʒɪt  ˈɡædʒɪt
grace ɡreɪs  ɡreɪs
harsh hɑːʃ  hɑːrʃ
hijack ˈhaɪdʒæk  ˈhaɪdʒæk
idle ˈaɪd(ə)l  ˈaɪd(ə)l
impulse ˈɪmpʌls  ˈɪmpʌls
inevitable ɪnˈevɪtəb(ə)l  ɪnˈevɪtəb(ə)l
invade ɪnˈveɪd  ɪnˈveɪd
invasive ɪnˈveɪsɪv  ɪnˈveɪsɪv
justify ˈdʒʌstɪfaɪ  ˈdʒʌstɪfaɪ
machinery məˈʃiːnəri  məˈʃiːnəri
mortgage ˈmɔːɡɪdʒ  ˈmɔːrɡɪdʒ
negotiate nɪˈɡəʊʃieɪt  nɪˈɡoʊʃieɪt
nonsense ˈnɒns(ə)ns  ˈnɑːnsens
oblige əˈblaɪdʒ  əˈblaɪdʒ
petrol ˈpetrəl  ˈpetrəl
prevail prɪˈveɪl  prɪˈveɪl
prominent ˈprɒmɪnənt  ˈprɑːmɪnənt
quiz kwɪz  kwɪz
reap riːp  riːp
reinforce ˌriːɪnˈfɔːs  ˌriːɪnˈfɔːrs
remark rɪˈmɑːk  rɪˈmɑːrk
remedy ˈremədi  ˈremədi
scratch skrætʃ  skrætʃ
