skeleton ˈskelɪt(ə)n  ˈskelɪt(ə)n
soar sɔː(r)  sɔːr
specimen ˈspesɪmən  ˈspesɪmən
spoil spɔɪl  spɔɪl
spoilt spɔɪlt  spɔɪlt
sticky ˈstɪki  ˈstɪki
storage ˈstɔːrɪdʒ  ˈstɔːrɪdʒ
strip strɪp  strɪp
suicide ˈsuːɪsaɪd  ˈsuːɪsaɪd
trigger ˈtrɪɡə(r)  ˈtrɪɡər
troop truːp  truːp
utility juːˈtɪləti  juːˈtɪləti
verity ˈverəti  ˈverəti
visible ˈvɪzəb(ə)l  ˈvɪzəb(ə)l
visual ˈvɪʒuəl  ˈvɪʒuəl
weird wɪəd  wɪrd
workshop ˈwɜːkʃɒp  ˈwɜːrkʃɑːp
accustom əˈkʌstəm  əˈkʌstəm
aisle aɪl  aɪl
amid əˈmɪd  əˈmɪd
assemble əˈsemb(ə)l  əˈsemb(ə)l
auditorium ˌɔːdɪˈtɔːriəm  ˌɔːdɪˈtɔːriəm
beforehand bɪˈfɔːhænd  bɪˈfɔːrhænd
brutal ˈbruːt(ə)l  ˈbruːt(ə)l
bulletin ˈbʊlətɪn  ˈbʊlətɪn
bureau ˈbjʊərəʊ  ˈbjʊroʊ
directory dəˈrektəri  dəˈrektəri
chamber ˈtʃeɪmbə(r)  ˈtʃeɪmbər
chill tʃɪl  tʃɪl
civilian səˈvɪliən  səˈvɪliən
cling klɪŋ  klɪŋ
commerce ˈkɒmɜːs  ˈkɑːmɜːrs
commercial kəˈmɜːʃ(ə)l  kəˈmɜːrʃ(ə)l
commodity kəˈmɒdəti  kəˈmɑːdəti
conquer ˈkɒŋkə(r)  ˈkɑːŋkər
cue kjuː  kjuː
decent ˈdiːsnt  ˈdiːsnt
delegate ˈdelɪɡət  ˈdelɪɡət
dignity ˈdɪɡnəti  ˈdɪɡnəti
disposal dɪˈspəʊz(ə)l  dɪˈspoʊz(ə)l
dispose dɪˈspəʊz  dɪˈspoʊz
dominant ˈdɒmɪnənt  ˈdɑːmɪnənt
dominate ˈdɒmɪneɪt  ˈdɑːmɪneɪt
dose dəʊs  doʊs
drain dreɪn  dreɪn
dropout ˈdrɒpaʊt  ˈdrɑːpaʊt
dull dʌl  dʌl
durable ˈdjʊərəb(ə)l  ˈdʊrəb(ə)l
elevate ˈelɪveɪt  ˈelɪveɪt
equivalent ɪˈkwɪvələnt  ɪˈkwɪvələnt
