exert ɪɡˈzɜːt  ɪɡˈzɜːrt
exile ˈeksaɪl  ˈeksaɪl
flee fliː  fliː
fuss fʌs  fʌs
inferior ɪnˈfɪəriə(r)  ɪnˈfɪriər
instinct ˈɪnstɪŋkt  ˈɪnstɪŋkt
intensive ɪnˈtensɪv  ɪnˈtensɪv
intimate ˈɪntɪmət  ˈɪntɪmət
invariably ɪnˈveəriəbli  ɪnˈveriəbli
jail dʒeɪl  dʒeɪl
landscape ˈlændskeɪp  ˈlændskeɪp
lane leɪn  leɪn
leak liːk  liːk
lean liːn  liːn
lease liːs  liːs
limitation ˌlɪmɪˈteɪʃ(ə)n  ˌlɪmɪˈteɪʃ(ə)n
loyal ˈlɔɪəl  ˈlɔɪəl
loyalty ˈlɔɪəlti  ˈlɔɪəlti
luggage ˈlʌɡɪdʒ  ˈlʌɡɪdʒ
melt melt  melt
utilize ˈjuːtəlaɪz  ˈjuːtəlaɪz
merit ˈmerɪt  ˈmerɪt
moist mɔɪst  mɔɪst
murder ˈmɜːdə(r)  ˈmɜːrdər
mutual ˈmjuːtʃuəl  ˈmjuːtʃuəl
patch pætʃ  pætʃ
pave peɪv  peɪv
paw pɔː  pɔː
persist pəˈsɪst  pərˈsɪst
pigeon ˈpɪdʒɪn  ˈpɪdʒɪn
pint paɪnt  paɪnt
pitch pɪtʃ  pɪtʃ
readily ˈredɪli  ˈredɪli
refrain rɪˈfreɪn  rɪˈfreɪn
repay rɪˈpeɪ  rɪˈpeɪ
slice slaɪs  slaɪs
spur spɜː(r)  spɜːr
steep stiːp  stiːp
suspicion səˈspɪʃ(ə)n  səˈspɪʃ(ə)n
suspicious ˈæbˌvəʊlt  æbˈvoʊlt
sympathetic ˌsɪmpəˈθetɪk  ˌsɪmpəˈθetɪk
tangible ˈtændʒəb(ə)l  ˈtændʒəb(ə)l
tedious ˈtiːdiəs  ˈtiːdiəs
thesis ˈθiːsɪs  ˈθiːsɪs
triumph ˈtraɪʌmf  ˈtraɪʌmf
tube tjuːb  tuːb
upright ˈʌpraɪt  ˈʌpraɪt
utter ˈʌtə(r)  ˈʌtər
vacuum ˈvækjuːm  ˈvækjuːm
vigorous əˈstaʊndɪd  əˈstaʊndɪd
vigor ˈvɪɡə(r)  ˈvɪɡər
weapon ˈwepən  ˈwepən
