gaze                名动 凝视 稳定而专注地注视，尤指钦佩、惊讶或思考 形似graze pasture
horizon             名 地平线 地球表面与天空相接的线 眼界范围 一个人的知识、经验或兴趣的极限 用法多为horizons 注意拼写完全和发音一致 同根词horizontal
hostile             形 不友善有敌意的反对的 表现出或感到反对或厌恶的;不友好 敌人的 军事敌人的或属于军事敌人的
ignorance           名 无知不知情 缺乏知识或信息 同根词igonre后元音不同重音不同
ignorant            形 无知的不知情的 缺乏知识或意识的;未受过教育的或不世故的:
immense             形 巨大的 特别大的，尤指在规模或程度上 意似tremendous enormous numerous gigantic
imperial            形 帝国的  relating to an empire 皇帝的 relating to an emperor 宏伟华丽的 majestic or magnificent 专横跋扈的 imperious or domineering 英制的 有关或表示非公制度量衡制的(盎司、磅、石、英寸、英尺、码、英里、英亩、品脱、加仑等)，以前用于英国的所有计量单位，现在仍用于某些单位 词源同empire
influential         形 有影响力的 对某人或某事有很大影响的 名 有影响力的人 an influential person 用法多是influentials
intact              形 完好无损的 没有以任何方式损坏或受损的;完整的
intangible          形 无形的 触摸不到的;没有实际存在的 难以理解的说不出的 难以或不可能定义或理解的;模糊的和抽象的 如气氛关系 (资产)无形的 (指资产或利益)不是由实物构成或表现的，其价值不能精确测量 发音和tangible
intrude             动 侵扰 故意把自己置于不受欢迎或不受邀请的地方或情况 主语是人 闯入 以破坏性或不良影响进入 人物皆可形容程度 扰乱 把(某物)引入具有破坏性或不利影响的境地 物做主语 意似invade
knot                名 结 把一根绳子、绳子或类似的东西绕在自己身上并拧紧而制成的系 动 打结 fasten with a knot 使缠结 make (something, especially hair) tangled 并不是系头发意思如洗发水让头发缠结 形似knit
limb                名 肢体 人或四足动物的手臂或腿，或鸟的翅膀 枝干主枝 一棵树的大树枝 lame lamb lane limp
gear                名 齿轮 一种带齿的轮子，它与其它轮子一起工作，以改变驱动机构(如车辆的发动机)的速度与被驱动部分(车轮)的速度之间的关系 用法多是gears 用具 用于特定目的的设备或器具 如露营用具 动 使变速使调挡 设计或调整机器的gear，使其达到规定的速度或功率输出 如调节汽车档位
glow                动 发光 发出稳定的光，没有火焰 引申到容光焕发 (指人的脸)因温暖、健康、尴尬等而显得红润 喜形于色 通过某人的表情或举止表达深深的喜悦 名 光亮 红润光泽 喜悦
gorgeous            形 漂亮的有吸引力的 beautiful; very attractive 令人愉快的 very pleasant or enjoyable 非正式用法 意似striking spectacular splendid
gown                名 女礼服长袍 正式场合穿的优雅的长裙 辨析gown robe 后者松垮一些倾向于非正式浴袍 前者紧且正式如婚礼袍
gut                 名 内脏 stomach or belly 本能直觉 用于指基于本能的情感反应而不是经过深思熟虑的感觉或反应 非正式用法 勇气 个人的勇气和决心;性格坚韧 非正式用法 意似bowel belly 形似gist 主旨
halfway             副 在中间 处于或到达两个点之间的 如路途时间抽象的过程 形 中间的 midway between two points
harness             名 马具 一套带子和配件，用来把马或其他役用动物拴在马车、犁等上，并由车夫控制 动 装备上马具 put a harness on (a horse or other draught animal) 利用 控制和利用(自然资源)，尤指用来生产能源 意似saddle spur curb
haste               名 匆忙 动作或行动的速度或急迫;hurry
hasty               形 匆忙的 以过快或紧急的速度完成的 草率的 行动过快或考虑不足的
haunt               动 经常出没于 (指鬼)有规律地出现在(某地) 人或动物频繁去(某地) 想法或者不好的问题持续出现脑海中或持续造成困扰 之前学过了忘记了
haunted             形 闹鬼的 (of a place) frequented by a ghost 忧心忡忡的 表现出精神痛苦或折磨的迹象的 注意多了一个重音
headquarters        名 司令部 指挥所军事指挥员及其参谋人员所占的房屋 总部 作为一个组织的管理和行政中心的场所 形似headquarter 动 设立总部 音似quarter
hollow              形 中空的 having a hole or empty space inside 徒有其表的无价值的 without real significance or value 如胜利 名 
mankind             名 人类 human beings considered collectively; the human race 集合名词
mate                名 配偶 鸟或其它动物的性伴侣也可以是一个人的丈夫、妻子或其他性伴侣 伙伴 a friend or companion 动 交配 指动物或鸟类)聚在一起繁殖;交配:
moderate            形 中等的 在数量、强度、质量或程度上平均的 不偏激的温和的 (指人、政党或政策)不激进的或不过分偏右或偏左的 名 温和派 持moderate观点的人，尤指在政治上 动 缓和使适中 使或变得不那么极端、激烈、严格或暴力
mold                名 见mould基本同 mould英式写法 mold美式写法
mould               名 模具 一种中空的容器，用来使熔化的或热的液体冷却变硬时定型 类型风格 独特的和典型的风格、形式或特征 动 用模具塑造 用可塑材料制成物体 影响 影响…的形成或发展 如企业的政策理念
modular             形 模块的 采用或涉及一个或多个模块作为设计或构造的基础 词源module
module              名 模块标准部件 可用于构造更复杂结构的一组标准部件或独立单元中的每一个，如一件家具或一座建筑物 如建筑电子计算机领域
modulo              介 以...为模 (在数论中)关于或使用特定数的模数。如果两个数对一个给定数取模后得到相同的余数，则它们是同余的 
nasty               形 非常坏的令人难受的 very bad or unpleasant 如气味经历天气 有危害造成伤害的的 damaging or harmful 如斧头 名  非常坏令人难受有危害的人或事 an unpleasant or harmful person or thing 形似haste hasty
offend              动 冒犯的嘴令人不适 使感到不安、烦恼或怨恨 犯罪 commit an illegal act 意似aggressive 形似defend
offense             名 犯罪 a breach of a law or rule; an illegal act 冒犯 因觉察到对自己的侮辱或轻视而产生的烦恼或怨恨 攻击进攻 攻击某人或某物的行为 如体育比赛 同offence英式写法 offense美式写法 同根词offensive
omit                动 省去遗漏疏忽 有意或无意地忽略或排除(某人或某事)
orchestra           名 管弦乐队 一群乐器演奏家，尤指由弦乐器、木管乐器、铜管乐器和打击乐器组成并演奏古典音乐的乐队
ornament            名 装饰小饰品 用来使某物看起来更有吸引力但通常没有实际目的的东西，尤指小物件，如小雕像 动 装饰 通过添加装饰性物品使(某物)看起来更有吸引力 意似decorate trim 辨析区别应该就是意思中写的 ornament是小饰品
overhear            动 无意中听到 无意听(某人或某事)，无意或不知道说话者 形似overlook oversee
pad                 名 软垫 一块厚的软材料，通常用于保护或塑造某物或吸收液体 爪垫 动物脚或人手指的肉质底部
parade              名动 游行 公共游行，尤指庆祝特殊日子或事件的游行 引申到阅兵 为检阅或展示而进行的正式行军或集合 意似procession
paradox             名 悖论 看似荒谬或矛盾的陈述或命题，经调查后可能被证明是有充分根据或正确的或者是一种陈述或命题，尽管从可接受的前提推导出合理的(或表面上合理的)推理，却导致逻辑上似乎不可接受或自相矛盾的结论 矛盾的人事物 具有矛盾特征或品质的人或物 意似contradiction
peculiar            形 奇怪的 不同于正常或预期的;奇怪的 特别的 particular;special 如困难 特有的 belonging exclusively to: 用法peculiar to 如语言物种 意似bizarre eccentric
petroleum           名 石油 一种碳氢化合物的液体混合物，存在于适当的岩层中，可以提取和精炼以生产燃料，包括汽油、石蜡和柴油  意似petrol英式汽油 gasoline美式汽油
pit                 名 深坑 地上的一个大洞 动 使竞争 使某人或某物与之发生冲突或竞争 用法pit someone/something against 形似pitch ditch
pitfall             名 陷阱 用作陷阱的有盖的坑 物理的 隐患 隐藏的或未预料到的危险或困难 抽象的
plentiful           形 充足的 大量存在的或产生大量的;丰富的 意似abundant 词根plenty 代词 大量 大量或足够的量或数量;绰绰有余 名 充裕 食物和其他必需品有足够数量供应的情况 短语plenty of来自于大量意思 plentiful来自于充裕意思
precaution          名 预防措施 预先采取的措施，以防止危险、不愉快或不方便的事情发生 形似preliminary prerequisite
