gaze ɡeɪz  ɡeɪz
horizon ɑː(r)  ɑːr
hostile ˈhɒstaɪl  ˈhɑːst(ə)l
ignorance ˈɪɡnərəns  ˈɪɡnərəns
ignorant ˈɪɡnərənt  ˈɪɡnərənt
immense ɪˈmens  ɪˈmens
imperial ɪmˈpɪəriəl  ɪmˈpɪriəl
influential ˌɪnfluˈenʃ(ə)l  ˌɪnfluˈenʃ(ə)l
intact ɪnˈtækt  ɪnˈtækt
intangible ɪnˈtændʒəb(ə)l  ɪnˈtændʒəb(ə)l
intrude ɪnˈtruːd  ɪnˈtruːd
knot nɒt  nɑːt
limb lɪm  lɪm
gear ɡɪə(r)  ɡɪr
glow ɡləʊ  ɡloʊ
gorgeous ˈɡɔːdʒəs  ˈɡɔːrdʒəs
gown ɡaʊn  ɡaʊn
gut ɡʌt  ɡʌt
halfway ˌhɑːfˈweɪ  ˌhæfˈweɪ
harness ˈhɑːnɪs  ˈhɑːrnɪs
haste heɪst  heɪst
hasty ˈheɪsti  ˈheɪsti
haunt ɔːˈtɒməˌtaɪz  ɔːˈtɑːməˌtaɪz
haunted ˈhɔːntɪd  ˈhɔːntɪd
headquarters ˌhedˈkwɔːtəz  ˈhedkwɔːrtərz
hollow ˈhɒləʊ  ˈhɑːloʊ
mankind mænˈkaɪnd  mænˈkaɪnd
mate meɪt  meɪt
moderate ˈmɒdərət  ˈmɑːdərət
mold məʊld  moʊld
mould məʊld  moʊld
modular ˈmɒdjələ(r)  ˈmɑːdʒələr
module ˈmɒdjuːl  ˈmɑːdʒuːl
modulo ˈmɒdjʊləʊ  ˈmɑːdjəˌloʊ
nasty ˈnɑːsti  ˈnæsti
offend əˈfend  əˈfend
offense əˈfens  əˈfens
omit əˈmɪt  əˈmɪt
orchestra ˈɔːkɪstrə  ˈɔːrkɪstrə
ornament ˈɔːnəmənt  ˈɔːrnəmənt
overhear ˌəʊvəˈhɪə(r)  ˌoʊvərˈhɪr
pad ˌʌpˈdeɪt  ˌʌpˈdeɪt
parade pəˈreɪd  pəˈreɪd
paradox ˈpærədɒks  ˈpærədɑːks
peculiar keɪ  keɪ
petroleum pəˈtrəʊliəm  pəˈtroʊliəm
pit pɪt  pɪt
pitfall ˈpɪtfɔːl  ˈpɪtfɔːl
plentiful ˈplentɪf(ə)l  ˈplentɪf(ə)l
precaution prɪˈkɔːʃ(ə)n  prɪˈkɔːʃn
