preliminary prɪˈlɪmɪnəri  prɪˈlɪmɪneri
presumably prɪˈzjuːməbli  prɪˈzuːməbli
preventive prɪˈventɪv  prɪˈventɪv
provoke prəˈvəʊk  prəˈvoʊk
rebel ˈreb(ə)l; rɪˈbel  ˈreb(ə)l; rɪˈbel
reckon ˈrekən  ˈrekən
region ˈriːdʒən  ˈriːdʒən
retreat rɪˈtriːt  rɪˈtriːt
reunite ˌriːjuˈnaɪt  ˌriːjuˈnaɪt
revolutionary ˌrevəˈluːʃənəri  ˌrevəˈluːʃəneri
riot ˈraɪət  ˈraɪət
satellite ˈsætəlaɪt  ˈsætəlaɪt
scenario səˈnɑːriəʊ  səˈnærioʊ
selfish ˈselfɪʃ  ˈselfɪʃ
selfless ˈselfləs  ˈselfləs
seminar ˈsemɪnɑː(r)  ˈsemɪnɑːr
shallow ˈʃæləʊ  ˈʃæloʊ
sheer ʃɪə(r)  ʃɪr
simplicity sɪmˈplɪsəti  sɪmˈplɪsəti
slap slæp  slæp
sleeve sliːv  sliːv
soak səʊk  soʊk
sociology ˌsəʊsiˈɒlədʒi  ˌsoʊsiˈɑːlədʒi
craft krɑːft  krɑːft
sparkle ˈspɑːk(ə)l  ˈspɑːrk(ə)l
speculate ˈspekjuleɪt  ˈspekjuleɪt
stiff stɪf  stɪf
stock stɒk  stɑːk
sway sweɪ  sweɪ
tender ˈtendə(r)  ˈtendər
temper ˈtempə(r)  ˈtempər
treaty ˈtriːti  ˈtriːti
tyre ˈtaɪə(r)  ˈtaɪər
underneath ˌʌndəˈniːθ  ˌʌndərˈniːθ
undo ʌnˈduː  ʌnˈduː
uneasy ʌnˈiːzi  ʌnˈiːzi
van væn  væn
variation ˌveəriˈeɪʃ(ə)n  ˌveriˈeɪʃ(ə)n
veritable ˈverɪtəb(ə)l  ˈverɪtəb(ə)l
versus ˈvɜːsəs  ˈvɜːrsəs
vertical ˈvɜːtɪk(ə)l  ˈvɜːrtɪk(ə)l
accordingly əˈkɔːdɪŋli  əˈkɔːrdɪŋli
affluent ˈæfluənt  ˈæfluənt
ally ˈælaɪ  ˈælaɪ
anchor ˈæŋkə(r)  ˈæŋkər
atomic əˈtɒmɪk  əˈtɑːmɪk
bail beɪl  beɪl
ballot ˈbælət  ˈbælət
banner ˈbænə(r)  ˈbænər
blade bleɪd  bleɪd
