glance ɡlɑːns  ɡlæns
glare ɡleə(r)  ɡler
globe ɡləʊb  ɡloʊb
glove ɡlʌv  ɡlʌv
golf ɡɒlf  ɡɑːlf
goose ɡuːs  ɡuːs
govern ˈɡʌv(ə)n  ˈɡʌvərn
gown ɡaʊn  ɡaʊn
grain ɡreɪn  ɡreɪn
gram ɡræm  ɡræm
grand ɡrænd  ɡrænd
graph ɡrɑːf  ɡræf
grasp ɡrɑːsp  ɡræsp
grateful ˈɡreɪtf(ə)l  ˈɡreɪtf(ə)l
gravity ˈɡrævəti  ˈɡrævəti
greedy ˈɡriːdi  ˈɡriːdi
greengrocer ˈɡriːnɡrəʊsə(r)  ˈɡriːnɡroʊsər
grey ɡreɪ  ɡreɪ
grill ɡrɪl  ɡrɪl
grocer ˈɡrəʊsə(r)  ˈɡroʊsər
grocery ˈɡrəʊsəri  ˈɡroʊsəri
guarantee ˌɡærənˈtiː  ˌɡærənˈtiː
guard ɡɑːd  ɡɑːrd
guess ɡes  ɡes
guest ɡest  ɡest
guidance ˈɡaɪd(ə)ns  ˈɡaɪd(ə)ns
guilty ˈɡɪlti  ˈɡɪlti
gymnasium dʒɪmˈneɪziəm  dʒɪmˈneɪziəm
gymnastics dʒɪmˈnæstɪks  dʒɪmˈnæstɪks
hall hɔːl  hɔːl
ham hæm  hæm
hammer ˈhæmə(r)  ˈhæmər
handful ˈhændfʊl  ˈhændfʊl
handkerchief ˈhæŋkətʃɪf  ˈhæŋkərtʃɪf
handle ˈhænd(ə)l  ˈhænd(ə)l
handy ˈhændi  ˈhændi
hang hæŋ  hæŋ
hardship ˈhɑːdʃɪp  ˈhɑːrdʃɪp
hardworking ˈhɑːdˌwɜːkɪŋ  ˌhɑːrdˈwɜːrkɪŋ
harm hɑːm  hɑːrm
harmony ˈhɑːməni  ˈhɑːrməni
harvest ˈhɑːvɪst  ˈhɑːrvɪst
hat hæt  hæt
hatch hætʃ  hætʃ
hawk hɔːk  hɔːk
headmistress ˌhedˈmɪstrəs  ˌhedˈmɪstrəs
heap hiːp  hiːp
heart hɑːt  hɑːrt
heat hiːt  hiːt
