own əʊn  oʊn
ox ɒks  ɑːks
Pacific pəˈsɪfɪk  pəˈsɪfɪk
paddle ˈpæd(ə)l  ˈpæd(ə)l
pair peə(r)  per
pale peɪl  peɪl
pancake ˈpænkeɪk  ˈpænkeɪk
panic mʌʃ  mʌʃ
parallel ˈpærəlel  ˈpærəlel
parcel ˈpɑːs(ə)l  ˈpɑːrs(ə)l
parrot ˈpærət  ˈpærət
particular ˌhetərəʊˈθælɪk  ˌhetərˌoʊˈθælɪk; ˌhetərəˈθælɪk
passive ˈpæsɪv  ˈpæsɪv
patent ˈpeɪt(ə)nt; ˈpæt(ə)nt  ˈpæt(ə)nt
pattern ˈpæt(ə)n  ˈpætərn
pause tiː  tiː
pavement ˈpeɪvmənt  ˈpeɪvmənt
pea piː  piː
peace piːs  piːs
peach piːtʃ  piːtʃ
penny ˈpeni  ˈpeni
pension ˈpenʃ(ə)n  ˈpenʃən
pepper ˈpepə(r)  ˈpepər
percent pəˈsent  pərˈsent
perfume ˈpɜːfjuːm  pərˈfjuːm
permanent ˈpɜːmənənt  ˈpɜːrmənənt
personnel ˈdʌbljuː  ˈdʌbljuː
pest pest  pest
petrol ˈpetrəl  ˈpetrəl
photography fəˈtɒɡrəfi  fəˈtɑːɡrəfi
photographer fəˈtɒɡrəfə(r)  fəˈtɑːɡrəfər
phrase freɪz  freɪz
physician fɪˈzɪʃ(ə)n  fɪˈzɪʃ(ə)n
physical ˈfɪzɪk(ə)l  ˈfɪzɪk(ə)l
physicist ˈfɪzɪsɪst  ˈfɪzɪsɪst
physics ˈfɪzɪks  ˈfɪzɪks
pie en  en
pile paɪl  paɪl
pill pɪl  pɪl
pilot ˈpaɪlət  ˈpaɪlət
pin pɪn  pɪn
pine paɪn  paɪn
pint paɪnt  paɪnt
pipe paɪp  paɪp
planet ˈplænɪt  ˈplænɪt
plot plɒt  plɑːt
pocket ˈpɒkɪt  ˈpɑːkɪt
poem An error occurred: 'ukphone'
poet ˈpəʊɪt  ˈpoʊət
poisonous ˈpɔɪzənəs  ˈpɔɪzənəs
pole pəʊl  poʊl
policewoman pəˈliːswʊmən  pəˈliːswʊmən
polite pəˈlaɪt  pəˈlaɪt
political pəˈlɪtɪk(ə)l  pəˈlɪtɪk(ə)l
