aboard əˈbɔːd  əˈbɔːrd
abolish əˈbɒlɪʃ  əˈbɑːlɪʃ
abortion əˈbɔːʃ(ə)n  əˈbɔːrʃ(ə)n
abroad əˈbrɔːd  əˈbrɔːd
absorb əbˈzɔːb  əbˈzɔːrb
absurd əbˈsɜːd  əbˈsɜːrd
abundant ˈflæʃ kɑːd  An error occurred: 'usphone'
abuse əˈbjuːs  əˈbjuːs
accelerate əkˈseləreɪt  əkˈseləreɪt
accident ˈæksɪdənt  ˈæksɪdənt
accommodation əˌkɒməˈdeɪʃ(ə)n  əˌkɑːməˈdeɪʃ(ə)n
accumulate əˈkjuːmjəleɪt  əˈkjuːmjəleɪt
accuracy ˈækjərəsi  ˈækjərəsi
accurate ˈækjərət  ˈækjərət
acid ˈæsɪd  ˈæsɪd
acquaintance əˈkweɪntəns  əˈkweɪntəns
acre ˈeɪkə(r)  ˈeɪkər
acute əˈkjuːt  əˈkjuːt
addicted əˈdɪktɪd  əˈdɪktɪd
adequate ˈædɪkwət  ˈædɪkwət
admirable ˈædmərəb(ə)l  ˈædmərəb(ə)l
adore əˈdɔː(r)  əˈdɔːr
adventure ədˈventʃə(r)  ədˈventʃər
advertise ˈædvətaɪz  ˈædvərtaɪz
advertisement ədˈvɜːtɪsmənt  ˌædvərˈtaɪzmənt
advocate ˈædvəkeɪt  ˈædvəkeɪt
affair əˈfeə(r)  əˈfer
affection əˈfekʃn  əˈfekʃ(ə)n
Africa ˈæfrɪkə  ˈæfrɪkə
agenda əˈdʒendə  əˈdʒendə
agent ˈeɪdʒənt  ˈeɪdʒənt
aggression ɑː(r)  ɑːr
aggressive əˈɡresɪv  əˈɡresɪv
aid An error occurred: 'ukphone'
airmail ˈeəmeɪl  ˈermeɪl
album keɪ  keɪ
alcoholic ˌælkəˈhɒlɪk  ˌælkəˈhɑːlɪk
algebra ˈældʒɪbrə  ˈældʒɪbrə
allergy ˈælədʒi  ˈælərdʒi
allergic əˈlɜːdʒɪk  əˈlɜːrdʒɪk
alley ˈæli  ˈæli
allocate ˈæləkeɪt  ˈæləkeɪt
allowance əˈlaʊəns  əˈlaʊəns
alphabet ˈælfəbet  ˈælfəbet
alternative ɔːlˈtɜːnətɪv  ɔːlˈtɜːrnətɪv
altitude ˈæltɪtjuːd  ˈæltɪtuːd
aluminium ˌæljəˈmɪniəm  ˌæljəˈmɪniəm
amateur ˈæmətə(r)  ˈæmətər
ambassador æmˈbæsədə(r)  æmˈbæsədər
ambassadress en  en
ambiguous səˈnɒrəti  səˈnɔːrəti
ambulance ˈæmbjələns  ˈæmbjələns
America əˈmerɪkə  əˈmerɪkə
ample ˈæmpl  ˈæmp(ə)l
analyze ˈænəlaɪz  ˈænəlaɪz
analysis əˈnæləsɪs  əˈnæləsɪs
