skip skɪp  skɪp
skyscraper ˈskaɪskreɪpə(r)  ˈskaɪskreɪpər
slavery ˈsleɪvəri  ˈsleɪvəri
sleeve sliːv  sliːv
slice slaɪs  slaɪs
slide ʌnˈdæmɪdʒd  ʌnˈdæmɪdʒd
slight slaɪt  slaɪt
slim slɪm  slɪm
slip slɪp  slɪp
smelly ˈsmeli  ˈsmeli
snack snæk  snæk
snatch snætʃ  snætʃ
sneaker ˈsniːkə(r)  ˈsniːkər
sniff snɪf  snɪf
soap səʊp  soʊp
sock sɒk  sɑːk
softball ˈsɒftbɔːl  ˈsɔːftbɔːl
solar ˈsəʊlə(r)  ˈsoʊlər
soldier ˈsəʊldʒə(r)  ˈsoʊldʒər
solid An error occurred: 'ukphone'
somehow ˈsʌmhaʊ  ˈsʌmhaʊ
sorrow ˈsɒrəʊ  ˈsɑːroʊ
sort sɔːt  sɔːrt
sour ˈsaʊə(r)  ˈsaʊər
southern viː  viː
souvenir ˌsuːvəˈnɪə(r)  ˌsuːvəˈnɪr
spear spɪə(r)  spɪr
spin spɪn  spɪn
spiritual ˈspɪrɪtʃuəl  ˈspɪrɪtʃuəl
spit spɪt  spɪt
splendid ˈsplendɪd  ˈsplendɪd
split dʒiː  metˈhiːməˌɡloʊbɪn; metˈheməˌɡloʊbɪn; metˌhiːməˈɡloʊbɪn
spokesman ˈspəʊksmən  ˈspoʊksmən
spokeswoman ˈspəʊkswʊmən  ˈspoʊkswʊmən
sponsor ˈspɒnsə(r)  ˈspɑːnsər
spoon spuːn  spuːn
spray spreɪ  spreɪ
squeeze skwiːz  skwiːz
squid skwɪd  skwɪd
squirrel ˈskwɪrəl  ˈskwɜːrəl
stain steɪn  steɪn
stainless ˈsteɪnləs  ˈsteɪnləs
standard ˈstændəd  ˈstændərd
stare steə(r)  ster
starvation stɑːˈveɪʃ(ə)n  stɑːrˈveɪʃ(ə)n
starve stɑːv  stɑːrv
statesman ˈsteɪtsmən  ˈsteɪtsmən
stateswoman ˈsteɪtsˌwʊmən  An error occurred: 'usphone'
statistics stəˈtɪstɪks  stəˈtɪstɪks
statue ˈstætʃuː  ˈstætʃuː
status ˈsteɪtəs  ˈsteɪtəs; ˈstætəs
steady ˈstedi  ˈstedi
steak steɪk  steɪk
steal stiːl  stiːl
steep stiːp  stiːp
steward ˈstjuːəd  ˈstuːərd
stewardess ˌstjuːəˈdes  ˈstuːərdəs
stocking ˈstɒkɪŋ  ˈstɑːkɪŋ
storage ˈstɔːrɪdʒ  ˈstɔːrɪdʒ
stout staʊt  staʊt
stove ˌmaɪkrəʊˈfəʊtəˌɡrɑːf  ˌmaɪkroʊˈfoʊtəˌgræf; ˌmaɪkrəˈfoʊtəˌgræf
strait streɪt  streɪt
straw strɔː  strɔː
street striːt  striːt
strength streŋθ  streŋθ
strengthen ˈstreŋθn  ˈstreŋkθ(ə)n
strike straɪk  straɪk
string strɪŋ  strɪŋ
stubborn ˈlevələz  An error occurred: 'usphone'
subjective səbˈdʒektɪv  səbˈdʒektɪv
subscribe səbˈskraɪb  səbˈskraɪb
suck sʌk  sʌk
suite swiːt  swiːt
sunburnt ˈsʌnbɜːnt  ˈsʌnbɜːrnt
superb suːˈpɜːb  suːˈpɜːrb
superior suːˈpɪəriə(r)  suːˈpɪriər
supreme suːˈpriːm; sjuːˈpriːm  suˈpriːm
surgeon ˈsɜːdʒən  ˈsɜːrdʒən
surplus ˈsɜːpləs  ˈsɜːrplʌs
survival səˈvaɪv(ə)l  sərˈvaɪv(ə)l
suspect səˈspekt  səˈspekt
suspension səˈspenʃ(ə)n  səˈspenʃ(ə)n
swear sweə(r)  swer
sweat swet  swet
swell swel  swel
swing swɪŋ  swɪŋ
sword An error occurred: 'ukphone'
