comedy ˈkɒmədi  ˈkɑːmədi
comma ˈkɒmə  ˈkɑːmə
comment ˈkɒment  ˈkɑːment
committee kəˈmɪti  kəˈmɪti
communism ˈkɒmjənɪzəm  ˈkɑːmjənɪzəm
communist ˈkɒmjənɪst  ˈkɑːmjənɪst
companion kəmˈpænjən  kəmˈpænjən
competence ˈkɒmpɪtəns  ˈkɑːmpɪtəns
component kəmˈpəʊnənt  kəmˈpoʊnənt
composition ˌkɒmpəˈzɪʃ(ə)n  ˌkɑːmpəˈzɪʃ(ə)n
compromise ˈkɒmprəmaɪz  ˈkɑːmprəmaɪz
comrade ˈkɒmreɪd  ˈkɑːmræd
compulsory kəmˈpʌlsəri  kəmˈpʌlsəri
concept ˈkɒnsept  ˈkɑːnsept
condemn kənˈdem  kənˈdem
conduct kənˈdʌkt  kənˈdʌkt
conference ˈkɒnfərəns  ˈkɑːnfərəns
confidential ˌkɒnfɪˈdenʃ(ə)l  ˌkɑːnfɪˈdenʃ(ə)l
confirm kənˈfɜːm  kənˈfɜːrm
conflict ˈkɒnflɪkt  ˈkɑːnflɪkt
confuse kənˈfjuːz  kənˈfjuːz
conscience ˈkɒnʃəns  ˈkɑːnʃəns
consensus kənˈsensəs  kənˈsensəs
conservation ˌkɒnsəˈveɪʃ(ə)n  ˌkɑːnsərˈveɪʃ(ə)n
conservative kənˈsɜːvətɪv  kənˈsɜːrvətɪv
constant ˈkɒnstənt  ˈkɑːnstənt
contemporary kənˈtemp(ə)rəri  kənˈtempəreri
continent ˈkɒntɪnənt  ˈkɑːntɪnənt
contradict eɪ  eɪ
contradictory mɪˈməʊzə; mɪˈməʊsə  mɪˈmoʊzəˌmɪˈmoʊsə
contrary ˈkɒntrəri  ˈkɑːntreri
controversial ˌkɒntrəˈvɜːʃ(ə)l  ˌkɑːntrəˈvɜːrʃ(ə)l
convey kənˈveɪ  kənˈveɪ
convince kənˈvɪns  kənˈvɪns
coral ˈkɒrəl  ˈkɔːrəl
cordless ˈkɔːdləs  ˈkɔːrdləs
corn kɔːn  kɔːrn
correspond ˌkɒrəˈspɒnd  ˌkɔːrəˈspɑːnd
corrupt kəˈrʌpt  kəˈrʌpt
cozy ˈkəʊzi  ˈkoʊzi
cottage ˈkɒtɪdʒ  ˈkɑːtɪdʒ
cotton ˈkɒtn  ˈkɑːt(ə)n
cough kɒf  kɔːf
course kɔːs  kɔːrs
court kɔːt  kɔːrt
cow kaʊ  kaʊ
crash kræʃ  kræʃ
crayon ˈkreɪən  ˈkreɪən
crew kruː  kruː
criterion kraɪˈtɪəriən  kraɪˈtɪriən
crop krɒp  krɑːp
crowded ˈkraʊdɪd  ˈkraʊdɪd
cube kjuːb  kjuːb
cubic An error occurred: 'ukphone'
cuisine kwɪˈziːn  kwɪˈziːn
curious ˈkjʊəriəs  ˈkjʊriəs
curriculum kəˈrɪkjələm  kəˈrɪkjələm
cushion ˈkʊʃ(ə)n  ˈkʊʃ(ə)n
customs ˈkʌstəmz  ˈkʌstəmz
cyclist ˈsaɪklɪst  ˈsaɪklɪst
dam An error occurred: 'ukphone'
damp dæmp  dæmp
dash dæʃ  dæʃ
dawn dɔːn  dɑːn
deaf def  def
debt det  det
deed diːd  diːd
defeat dɪˈfiːt  dɪˈfiːt
delicate ˈdelɪkət  ˈdelɪkət
demand dɪˈmɑːnd  dɪˈmænd
deposit dɪˈpɒzɪt  dɪˈpɑːzɪt
desert ˈdezət  ˈdezərt
deserve dɪˈzɜːv  dɪˈzɜːrv
desire dɪˈzaɪə(r)  dɪˈzaɪər
dessert dɪˈzɜːt  dɪˈzɜːrt
devote dɪˈvəʊt  dɪˈvoʊt
diagram ˈdaɪəɡræm  ˈdaɪəɡræm
dial ˈdaɪəl  ˈdaɪəl
dictation dɪkˈteɪʃ(ə)n  dɪkˈteɪʃ(ə)n
dignity ˈdɪɡnəti  ˈdɪɡnəti
dilemma dɪˈlemə  dɪˈlemə
dip dɪp  dɪp
diploma dɪˈpləʊmə  dɪˈploʊmə
discrimination dɪˌskrɪmɪˈneɪʃn  dɪˌskrɪmɪˈneɪʃ(ə)n
disease dɪˈziːz  dɪˈziːz
disgusting dɪsˈɡʌstɪŋ  dɪsˈɡʌstɪŋ
disk dɪsk  dɪsk
dismiss dɪsˈmɪs  dɪsˈmɪs
distinction ɪmˈbræŋɡl  ɪmˈbræŋɡl
district ˈdɪstrɪkt  ˈdɪstrɪkt
disturb dɪˈstɜːb  dɪˈstɜːrb
division dɪˈvɪʒ(ə)n  dɪˈvɪʒ(ə)n
divorce dɪˈvɔːs  dɪˈvɔːrs
dizzy ˈdɪzi  ˈdɪzi
doll viː  viː
dollar ˈdɒlə(r)  ˈdɑːlər
donate dəʊˈneɪt  ˈdoʊneɪt
dormitory ˈdɔːmətri  ˈdɔːrmətɔːri
downward ˈdaʊnwəd  ˈdaʊnwərd
dozen ˈdʌz(ə)n  ˈdʌz(ə)n
draft drɑːft  drɑːft
drill drɪl  drɪl
drown draʊn  draʊn
drunk drʌŋk  drʌŋk
dull dʌl  dʌl
dumpling ˈdʌmplɪŋ  ˈdʌmplɪŋ
dusk dʌsk  dʌsk
dustbin ˈdʌstbɪn  ˈdʌstbɪn
dynamic daɪˈnæmɪk  daɪˈnæmɪk
dynasty ˈdɪnəsti  ˈdaɪnəsti
eager eɪtʃ  eɪtʃ
ecology iˈkɒlədʒi  iˈkɑːlədʒi
edge edʒ  edʒ
edition ɪˈdɪʃ(ə)n  ɪˈdɪʃn
editor ˈedɪtə(r)  ˈedɪtər
elect ɪˈlekt  ɪˈlekt
elegant ˈelɪɡənt  ˈelɪɡənt
embassy ˈembəsi  ˈembəsi
emergency ɪˈmɜːdʒənsi  ɪˈmɜːrdʒənsi
emperor ˈempərə(r)  ˈempərər
empire ˈempaɪə(r)  ˈempaɪər
enquiry ɪnˈkwaɪəri  ˈɪnkwəri
enterprise ˈentəpraɪz  ˈentərpraɪz
entertainment ˌentəˈteɪnmənt  ˌentərˈteɪnmənt
enthusiastic ɪnˌθjuːziˈæstɪk  ɪnˌθuːziˈæstɪk
entrance ˈentrəns  ˈentrəns
entry ˈentri  ˈentri
envelop ɪnˈveləp  ɪnˈveləp
envy ˈenvi  ˈenvi
erupt ɪˈrʌpt  ɪˈrʌpt
essay ˌʌpˈdeɪt  ˌʌpˈdeɪt
Europe ˈjʊərəp  ˈjʊrəp
European ˌjʊərəˈpiːən  ˌjʊrəˈpiːən
evaluate ɪˈvæljueɪt  ɪˈvæljueɪt
evident ˈevɪdənt  ˈevɪdənt
evolution ˌiːvəˈluːʃ(ə)n  ˌevəˈluːʃ(ə)n
excellent ˈeksələnt  ˈeksələnt
excuse ɪkˈskjuːs  ɪkˈskjuːs
exhibition ˌeksɪˈbɪʃ(ə)n  ˌeksɪˈbɪʃ(ə)n
exit ˈeksɪt  ˈeksɪt
explicit ɪkˈsplɪsɪt  ɪkˈsplɪsɪt
exploit ɪkˈsplɔɪt  ɪkˈsplɔɪt
explorer ɪkˈsplɔːrə(r)  ɪkˈsplɔːrər
extra ˈæksəltriː  ˈækslˌtri
